Name	CoL ID	p_M (J/d.cm^3)	F_m (l/d.cm^2)	h_a (1/d^2)	p_Am (J/d.cm^2)	k_J (1/d)	kap_X (-)	kap (-)	E_G (J/cm^3)	E_Hb (J)	s_G (-)	v (cm/d)	kap_P (-)	kap_R (-)	E_Hp (J)	p_T (J/d.cm^2)
Acipenser ruthenus	0b96730a682802ff925457b4832bce69	11.83	6.5	1.861e-08	179.83	0.002	0.8	0.994	5280.0	0.02358	0.0001	0.05407	0.1	0.95	6536.0	0.0
Acipenser sturio	91d2d822ff7160abb9b9e57817711028	17.28	6.5	2.688e-10	845.736	0.002	0.8	0.8373	5232.0	2.555	0.0001	0.03179	0.1	0.95	7761000.0	0.0
Aegotheles cristatus	e77dc5c18f2a229366e15a70c599332f	30.2905	6.5	3.56e-17	118.212	0.002	0.8	0.92459	7289.62	2903.0	0.05	0.043551	0.1	0.95	5588.0	0.0
Aethia cristatella	7048c7929886b0410e3501585b00d8a9	613.792	6.5	2.504e-15	2906.5	0.002	0.8	0.9415	7321.75	10010.0	0.01	0.19336	0.1	0.95	1624000.0	0.0
Aethia pusilla	eedd1a360668ef531a40b98d4493618e	749.079	6.5	1.158e-14	2461.94	0.002	0.8	0.93853	7320.18	5016.0	0.01	0.16667	0.1	0.95	689700.0	0.0
Alectura lathami	0af00c8374b5551a726a6d761528a5a8	20.8595	6.5	2.982e-15	311.179	0.002	0.8	0.7668	7313.04	184100.0	0.05	0.097667	0.1	0.95	241600.0	0.0
Alle alle	d04ac5333679e22045b58982006bcc2d	895.699	6.5	8.92e-23	3394.83	0.002	0.8	0.99334	7321.49	719.9	0.01	0.25676	0.1	0.95	121700.0	0.0
Alligator mississippiensis	258a54f64c1a663997eb9cca0549f840	14.92	6.5	3.411e-11	585.179	0.002	0.8	0.8628	7863.0	24330.0	0.0001	0.04296	0.1	0.95	22340000.0	0.0
Amia calva	d526fe4bb2cd5cf0d8edcbee9b0a07c4	154.0	6.5	5.115e-08	1720.86	0.002	0.8	0.5637	5221.0	5.289	0.0001	0.02561	0.1	0.95	1364000.0	0.0
Amphisbaena alba	e9c5fca6f18472b4bdb1059cc9b179d0	18.24	6.5	1.617e-09	154.404	0.002	0.8	0.8079	7845.0	4099.0	0.0001	0.02034	0.1	0.95	146600.0	0.0
Anas platyrhynchos	d5d9d6e502eb4c9f10b094dfdd935e65	18.6503	6.5	4.508e-36	197.235	0.002	0.8	0.93811	7318.36	14770.0	0.02	0.36295	0.1	0.95	71280.0	0.0
Andrias japonicus	41349267f4b608eff2affa9111ed15de	4.81	6.5	4.798e-10	157.376	0.002	0.8	0.927	6546.0	96.69	0.0001	0.09507	0.1	0.95	175300.0	0.0
Anguis fragilis	9d72c2c8f700a5af8c9c3265f68859c7	36.24	6.5	3.168e-10	159.06	0.002	0.8	0.64	7827.0	1168.0	0.0001	0.02748	0.1	0.95	18860.0	0.0
Anthus pratensis	eb78a0bc492c93711d4c1ca8426d71d9	1013.0	6.5	2.05e-20	2184.29	0.002	0.8	0.99399	7315.68	36.37	0.01	0.22654	0.1	0.95	20870.0	0.0
Apatosaurus spec	4a0bffea523beea537741425173e651f	19.13	6.5	1.114e-16	2261.2	0.002	0.8	0.923	7845.0	468200.0	0.5	0.02304	0.1	0.95	325300000.0	0.0
Aphanius fasciatus	ca3b317c12ad025398bec05b234d8a98	10.51	0.0004343	4.875e-08	25.2604	0.002	0.005009	0.7614	5241.0	2.164	0.0001	0.03548	0.8	0.95	171.7	0.0
Aphrastura spinicauda	fc5861eec01a70a052c61fd549cbe59c	800.0	6.5	4.372e-35	1711.6	0.002	0.8	0.91582	7311.15	1245.0	0.01	0.42124	0.1	0.95	253600.0	0.0
Aporrectodea longa	6ba7cb1f971e29fa5b0489de565d4109	243.6	6.5	1.413e-09	363.727	0.002	0.8	0.9758	4168.0	3.087	0.0001	0.1665	0.1	0.95	1009.0	0.0
Apteryx mantelli	a2d2e28e381809c970138675ba310656	22.7939	6.5	1.878e-26	476.767	0.002	0.8	0.51024	7321.0	909100.0	0.05	0.077626	0.1	0.95	9184000.0	0.0
Apus apus	9623ca15e5c36c273a9e571b97ba8107	608.169	6.5	9.097e-50	1810.03	0.002	0.8	0.99516	7310.72	87.27	0.01	0.57068	0.1	0.95	26090.0	0.0
Aquila chrysaetos	5047c9307611462730f7230818a6788a	231.821	6.5	3.143e-51	8318.38	0.002	0.8	0.36498	7320.89	648800.0	0.01	1.1718	0.1	0.95	204800000.0	0.0
Arapaima gigas	a8f83fea3aa2f1d343cc2b193eacfdcc	28.99	6.5	9.977e-10	758.335	0.002	0.8	0.9905	5223.0	0.259	0.0001	0.03239	0.1	0.95	366100.0	0.0
Archaeopteryx lithographica	b9239f5c1ac241577326804d5d856bf6	27.15	6.5	4.559e-19	261.487	0.002	0.8	0.7565	7827.0	33080.0	0.5	0.02527	0.1	0.95	1325000.0	0.0
